category,question,option_a,option_b,option_c,option_d,correct
Geography,What is the highest mountain in South Africa?,Table Mountain,Mafadi,Cathedral Peak,Cape Point,B
Geography,What do South Africans informally call a traffic light?,Signal,Beacon,Robot,Semaphore,C
Geography,Which of these is part of South Africa's Big 5?,Zebra,Cheetah,Giraffe,Rhino,D
Geography,What is South Africa's most famous national park?,Addo,Kruger,Kgalagadi,Pilanesberg,B
Geography,What is the longest river in South Africa?,Vaal River,Limpopo River,Orange River,Tugela River,C
Geography,What is the southernmost point of Africa?,Cape Point,Cape Town,Cape Agulhas,Cape of Good Hope,C
Geography,Which desert does South Africa share with Namibia and Botswana?,Sahara,Namib,Kalahari,Karoo,C
Geography,What is the semi-desert region across the Western and Northern Cape called?,Highveld,Lowveld,Karoo,Bushveld,C
Geography,The 'Big Hole' diamond mine is in which city?,Bloemfontein,Kimberley,Upington,Kuruman,B
Geography,Kruger National Park shares a border with which country?,Zimbabwe,Botswana,Mozambique,Namibia,C
Geography,What is South Africa's smallest province by area?,Free State,Limpopo,Gauteng,North West,C
Geography,What is South Africa's largest province by area?,Western Cape,KwaZulu-Natal,Eastern Cape,Northern Cape,D
Geography,Cape Town is South Africa's ___ capital.,Judicial,Legislative,Administrative,Financial,B
Geography,Pretoria is South Africa's ___ capital.,Legislative,Judicial,Administrative,Cultural,C
Geography,Bloemfontein is South Africa's ___ capital.,Legislative,Judicial,Administrative,Sporting,B
History,What date is Nelson Mandela's birthday?,27 April,16 June,18 July,24 September,C
History,In what year was Nelson Mandela released from prison?,1988,1990,1991,1994,B
History,In what year was South Africa's first democratic election held?,1990,1991,1994,1996,C
History,27 April is celebrated in South Africa as?,Heritage Day,Freedom Day,Youth Day,Human Rights Day,B
History,16 June is celebrated in South Africa as?,Freedom Day,Heritage Day,Youth Day,Women's Day,C
History,24 September is celebrated in South Africa as?,Freedom Day,Heritage Day,Youth Day,Reconciliation Day,B
History,9 August is celebrated in South Africa as?,Women's Day,Youth Day,Heritage Day,Freedom Day,A
History,Who was South Africa's first democratically elected president?,F.W. de Klerk,Thabo Mbeki,Nelson Mandela,Jacob Zuma,C
History,South Africa's national anthem is sung in how many languages?,3,4,5,6,C
History,Who chaired South Africa's Truth and Reconciliation Commission?,Nelson Mandela,Desmond Tutu,Steve Biko,Thabo Mbeki,B
History,Which SA political prisoner spent 27 years in jail?,Steve Biko,Oliver Tambo,Walter Sisulu,Nelson Mandela,D
Language,How many official languages does South Africa have (including Sign Language)?,9,10,11,12,D
Language,Which of these is NOT an official South African language?,Xitsonga,Tshivenda,Swahili,Sepedi,C
